row_id,TEXT,LABEL
0,director dirk shafer and co-writer greg hinton ride the dubious divide where gay porn reaches for serious drama .,0
1,"a charming , quirky and leisurely paced scottish comedy -- except with an outrageous central gimmick that could have been a reject from monty python 's meaning of life .",1
2,"the price was good ,  and came quickly though my prime membership .",1
3,i was looking forward to this game for a couple of num_extend,0
4,arguably the year 's silliest and most incoherent movie .,0
5,"emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one .",1
6,anyway i recommend this one for its price and quality .,1
7,it seems to be of very good quality in its build .,1
8,... there are enough moments of heartbreaking honesty to keep one glued to the screen .,1
9,they get into the corners as described and are flexible yet firm .,1
10,"it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya .",1
11,"liman , of swingers and go , makes his big-budget action film debut something of a clunker as he delivers a long , low-heat chase , interrupted by a middling car chase .",0
12,a sermonizing and lifeless paean to teenage dullards .,0
13,the issue of faith is not explored very deeply,0
14,armada lacks the epic scope of similar games like homeworld or even starcraft .,0
15,"the people in dogtown and z-boys are so funny , aggressive and alive , you have to watch them because you ca n't wait to see what they do next .",1
16,"bad company leaves a bad taste , not only because of its bad-luck timing , but also the staleness of its script .",0
17,"scarlet diva has a voyeuristic tug , but all in all it 's a lot less sensational than it wants to be .",0
18,with this i say i work giving support to the u . s .,0
19,this meter is technology from a decade ago .,0
20,"they were huge ,  yet the same size in the leather is tight .",0
21,it never fails to engage us .,1
22,it worked great for the first couple of weeks then it just stopped completely .,0
23,"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten .",1
24,either than or the developers decided to do their own .,0
25,it 's neither as romantic nor as thrilling as it should be .,0
26,will update this review should it meet a similar fate to my previous wheel .,1
27,i cannot recommend this product for anyone trying to fix a leaky transmission .,0
28,but this time there 's some mold on the gold .,0
29,i won t give this to the new puppy i m getting .,0
30,i have never had a pleasant experience with the customer support at cuisnart .,1
31,pretty much all i ask for in a grinder .,1
32,"snug fit ,  with all the buttons and holes perfectly aligned .",1
33,"also ,  it creates more static than the one i m used to .",0
34,"this road movie gives you emotional whiplash , and you 'll be glad you went along for the ride .",1
35,"stars matthew perry and elizabeth hurley illicit more than a chuckle , and more jokes land than crash , but ultimately serving sara does n't distinguish itself from the herd .",0
36,"a triumph , relentless and beautiful in its downbeat darkness .",1
37,"a very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth .",1
38,perfect size for preparing dishes . it really works well .,1
39,it keeps the air clean and nice fresh smelling .,1
40,i do n't have an i am sam clue .,0
41,but the back side looks nice as well .,1
42,"a dreary , incoherent , self-indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours ... a cacophony of pretentious , meaningless prattle .",0
43,think of it as a sort of comfort food for the mind .,1
44,this keeps the cord out of the way and above the board .,1
45,"what will , most likely , turn out to be the most repellent movie of 2002 .",0
46,item arrived in num_num days in bulk packaging exactly like j .,1
47,a chaotic panorama that 's too busy flying a lot of metaphoric flags .,0
48,"and ,  there were many things we liked about this game .",0
49,what makes the movie a comedy is the way it avoids the more serious emotions involved .,1
50,thank heaven the operation is intuitive because there are no instructions .,0
51,i miss my days of cracker eating before becoming gluten free .,0
52,"so ,  to me this is pretty darn  instant  .",1
53,a well-made and often lovely depiction of the mysteries of friendship .,1
54,"occasionally melodramatic , it 's also extremely effective .",1
55,"even with all those rough edges safely sanded down , the american insomnia is still pretty darned good .",1
56,"like i said ,  it works ,  these are ok .",1
57,this is junk food cinema at its greasiest .,0
58,"-lrb- wendigo is -rrb- why we go to the cinema : to be fed through the eye , the heart , the mind .",1
59,"a mix of velocity and idiocy , this ruinous remake lacks the brawn -- and the brains -- of the 1970s original .",0
60,"without september 11 , collateral damage would have been just another bad movie .",0
61,"my little girl wanted this for her birthday ,  so we got it .",0
62,i wouldn t trade them but this is a great knife for the price .,1
63,"static , repetitive , muddy and blurry , hey arnold !",0
64,a predictable and stereotypical little b-movie .,0
65,"so many documentaries like this presuppose religious bigotry or zealous nuttiness of its antagonists , but family fundamentals displays a rare gift for unflinching impartiality .",1
